pickup_lat_grid,pickup_lon_grid,pct_morning_cell,pct_afternoon_cell,pct_evening_cell,pct_late_night_cell,pct_weekend_cell,pct_weekday_cell,pct_short_cell,pct_medium_cell,pct_long_cell,total_trips,pct_morning_city,pct_afternoon_city,pct_evening_city,pct_late_night_city,pct_weekend_city,pct_weekday_city,pct_short_city,pct_medium_city,pct_long_city,late_night_dev,weekend_dev,short_dev,night_life_score,night_rank
41.798,-87.59,18.89,22.96,38.85,19.3,30.56,69.44,46.79,34.21,19.0,193413,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,-7.259999999999998,-1.3000000000000007,20.63,4.0233333333333334,95
41.885,-87.621,24.15,28.2,28.27,19.38,30.82,69.18,46.16,32.67,21.17,1897422,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,-7.18,-1.0399999999999991,19.999999999999996,3.9266666666666659,96
41.98,-87.664,15.95,24.45,29.43,30.17,40.01,59.99,26.04,55.99,17.97,108865,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,3.610000000000003,8.1499999999999986,-0.120000000000001,3.8800000000000003,97
41.951,-87.676,14.78,24.26,31.67,29.29,40.89,59.11,26.03,64.44,9.53,68027,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,2.7300000000000004,9.0300000000000011,-0.129999999999999,3.8766666666666674,98
41.912,-87.67,18.94,16.5,35.31,29.24,45.38,54.62,21.49,69.81,8.7,23860,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,2.6799999999999997,13.520000000000003,-4.6700000000000017,3.8433333333333337,99
41.958,-87.66,19.47,24.14,25.17,31.21,35.82,64.18,28.74,56.75,14.51,203168,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,4.6500000000000021,3.9600000000000009,2.5799999999999983,3.7300000000000004,100
41.941,-87.671,11.54,24.45,38.62,25.39,39.44,60.56,30.8,61.72,7.48,55297,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,-1.1699999999999982,7.5799999999999983,4.6400000000000006,3.6833333333333336,101
41.922,-87.656,15.75,23.9,32.71,27.65,35.58,64.42,32.11,57.91,9.98,124763,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,1.0899999999999999,3.7199999999999989,5.9499999999999993,3.586666666666666,102
41.921,-87.71,19.71,17.97,28.32,34.0,41.94,58.06,19.22,71.37,9.41,74952,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,7.4400000000000013,10.079999999999998,-6.9400000000000013,3.526666666666666,103
41.973,-87.664,19.94,22.26,26.24,31.57,39.46,60.54,23.96,58.88,17.16,150943,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,5.0100000000000016,7.6000000000000014,-2.1999999999999993,3.4700000000000011,104
